INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../code/RBM.cpp in debug mode
   Generating csim.exe
vector_out = 
num = 0, data[0] = 0.0000000, axis_last = 0
, num = 119, data[7] = 0.0000000, axis_last = 0
, num = 120, data[8] = 0.0000000, axis_last = 0
, num = 121, data[9] = 0.0000000, axis_last = 0
, num = 122, data[10] = 0.0000000, axis_last = 0
, num = 123, data[11] = 0.0000000, axis_last = 0
, num = 124, data[12] = 0.0000000, axis_last = 0
, num = 125, data[13] = 0.0000000, axis_last = 0
, num = 126, data[14] = 0.0000000, axis_last = 0
, num = 127, data[15] = 0.0000000, axis_last = 1
, num = 128, data[0] = 0.0000000, axis_last = 0
, num = 129, data[1] = 0.0000000, axis_last = 0
, num = 130, data[2] = 0.0000000, axis_last = 0
, num = 131, data[3] = 0.0000000, axis_last = 0
, num = 132, data[4] = 0.0000000, axis_last = 0
, num = 133, data[5] = 0.0000000, axis_last = 0
, num = 134, data[6] = 0.0000000, axis_last = 0
, num = 135, data[7] = 0.0000000, axis_last = 0
, num = 136, data[8] = 0.0000000, axis_last = 0
, num = 137, data[9] = 0.0000000, axis_last = 0
, num = 138, data[10] = 0.0000000, axis_last = 0
, num = 139, data[11] = 0.0000000, axis_last = 0
, num = 140, data[12] = 0.0000000, axis_last = 0
, num = 141, data[13] = 0.0000000, axis_last = 0
, num = 142, data[14] = 0.0000000, axis_last = 0
, num = 143, data[15] = 0.0000000, axis_last = 0
, num = 144, data[0] = 0.0000000, axis_last = 0
, num = 145, data[1] = 0.0000000, axis_last = 0
, num = 146, data[2] = 0.0000000, axis_last = 0
, num = 147, data[3] = 0.0000000, axis_last = 0
, num = 148, data[4] = 0.0000000, axis_last = 0
, num = 149, data[5] = 0.0000000, axis_last = 0
, num = 150, data[6] = 0.0000000, axis_last = 0
, num = 151, data[7] = 0.0000000, axis_last = 0
, num = 152, data[8] = 0.0000000, axis_last = 0
, num = 153, data[9] = 0.0000000, axis_last = 0
, num = 154, data[10] = 0.0000000, axis_last = 0
, num = 155, data[11] = 0.0000000, axis_last = 0
, num = 156, data[12] = 0.0000000, axis_last = 0
, num = 157, data[13] = 0.0000000, axis_last = 0
, num = 158, data[14] = 0.0000000, axis_last = 0
, num = 159, data[15] = 0.0000000, axis_last = 0
, num = 160, data[0] = 0.0000000, axis_last = 0
, num = 161, data[1] = 0.0000000, axis_last = 0
, num = 162, data[2] = 0.0000000, axis_last = 0
, num = 163, data[3] = 0.0000000, axis_last = 0
, num = 164, data[4] = 0.0000000, axis_last = 0
, num = 165, data[5] = 0.0000000, axis_last = 0
, num = 166, data[6] = 0.0000000, axis_last = 0
, num = 167, data[7] = 0.0000000, axis_last = 0
, num = 168, data[8] = 0.0000000, axis_last = 0
, num = 169, data[9] = 0.0000000, axis_last = 0
, num = 170, data[10] = 0.0000000, axis_last = 0
, num = 171, data[11] = 0.0000000, axis_last = 0
, num = 172, data[12] = 0.0000000, axis_last = 0
, num = 173, data[13] = 0.0000000, axis_last = 0
, num = 174, data[14] = 0.0000000, axis_last = 0
, num = 175, data[15] = 0.0000000, axis_last = 0
, num = 176, data[0] = 0.0000000, axis_last = 0
, num = 177, data[1] = 0.0000000, axis_last = 0
, num = 178, data[2] = 0.0000000, axis_last = 0
, num = 179, data[3] = 0.0000000, axis_last = 0
, num = 180, data[4] = 0.0000000, axis_last = 0
, num = 181, data[5] = 0.0000000, axis_last = 0
, num = 182, data[6] = 0.0000000, axis_last = 0
, num = 183, data[7] = 0.0000000, axis_last = 0
, num = 184, data[8] = 0.0000000, axis_last = 0
, num = 185, data[9] = 0.0000000, axis_last = 0
, num = 186, data[10] = 0.0000000, axis_last = 0
, num = 187, data[11] = 0.0000000, axis_last = 0
, num = 188, data[12] = 0.0000000, axis_last = 0
, num = 189, data[13] = 0.0000000, axis_last = 0
, num = 190, data[14] = 0.0000000, axis_last = 0
, num = 191, data[15] = 0.0000000, axis_last = 1
, 
=========================================================================
INFO [HLS SIM]: The maximum depth reached by any hls::stream() instance in the design is 1978
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
